#STANDARD_NAME	KEGG_WNT_SIGNALING_PATHWAY
#SYSTEMATIC_NAME	M19428
#COLLECTION	C2:CP:KEGG_LEGACY
#MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_WNT_SIGNALING_PATHWAY
#NAMESPACE	Human_NCBI_Gene_ID
#DESCRIPTION_BRIEF	Wnt signaling pathway
#DESCRIPTION_FULL	Wnt proteins are secreted morphogens that are required for basic developmental processes, such as cell-fate specification, progenitor-cell proliferation and the control of asymmetric cell division, in many different species and organs. There are at least three different Wnt pathways: the canonical pathway, the planar cell polarity (PCP) pathway and the Wnt/Ca2+ pathway. In the canonical Wnt pathway, the major effect of Wnt ligand binding to its receptor is the stabilization of cytoplasmic beta-catenin through inhibition of the bea-catenin degradation complex. Beta-catenin is then free to enter the nucleus and activate Wnt-regulated genes through its interaction with TCF (T-cell factor) family transcription factors and concomitant recruitment of coactivators. Planar cell polarity (PCP) signaling leads to the activation of the small GTPases RHOA (RAS homologue gene-family member A) and RAC1, which activate the stress kinase JNK (Jun N-terminal kinase) and ROCK (RHO-associated coiled-coil-containing protein kinase 1) and leads to remodelling of the cytoskeleton and changes in cell adhesion and motility. WNT-Ca2+ signalling is mediated through G proteins and phospholipases and leads to transient increases in cytoplasmic free calcium that subsequently activate the kinase PKC (protein kinase C) and CAMKII (calcium calmodulin mediated kinase II) and the phosphatase calcineurin.
#PMID	
#GEOID	
#AUTHORS	
#CONTRIBUTOR	KEGG
#CONTRIBUTOR_ORG	Kyoto Encyclopedia of Genes and Genomes
#EXACT_SOURCE	hsa04310
#FILTERED_BY_SIMILARITY	
#EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
#EXTERNAL_DETAILS_URL	http://www.genome.jp/pathway/hsa04310
Ensembl_gene_ID	NCBI_gene_ID	Gene_symbol	Description
7473	7473	WNT3	Wnt family member 3 [Source:HGNC Symbol;Ac...
7474	7474	WNT5A	Wnt family member 5A [Source:HGNC Symbol;A...
7475	7475	WNT6	Wnt family member 6 [Source:HGNC Symbol;Ac...
7476	7476	WNT7A	Wnt family member 7A [Source:HGNC Symbol;A...
7477	7477	WNT7B	Wnt family member 7B [Source:HGNC Symbol;A...
7478	7478	WNT8A	Wnt family member 8A [Source:HGNC Symbol;A...
7479	7479	WNT8B	Wnt family member 8B [Source:HGNC Symbol;A...
7480	7480	WNT10B	Wnt family member 10B [Source:HGNC Symbol;...
7481	7481	WNT11	Wnt family member 11 [Source:HGNC Symbol;A...
7482	7482	WNT2B	Wnt family member 2B [Source:HGNC Symbol;A...
7483	7483	WNT9A	Wnt family member 9A [Source:HGNC Symbol;A...
7484	7484	WNT9B	Wnt family member 9B [Source:HGNC Symbol;A...
7855	7855	FZD5	frizzled class receptor 5 [Source:HGNC Sym...
79718	79718	TBL1XR1	TBL1X/Y related 1 [Source:HGNC Symbol;Acc:...
7976	7976	FZD3	frizzled class receptor 3 [Source:HGNC Sym...
80319	80319	CXXC4	CXXC finger protein 4 [Source:HGNC Symbol;...
80326	80326	WNT10A	Wnt family member 10A [Source:HGNC Symbol;...
8061	8061	FOSL1	FOS like 1, AP-1 transcription factor subu...
81029	81029	WNT5B	Wnt family member 5B [Source:HGNC Symbol;A...
815	815	CAMK2A	calcium/calmodulin dependent protein kinas...
816	816	CAMK2B	calcium/calmodulin dependent protein kinas...
817	817	CAMK2D	calcium/calmodulin dependent protein kinas...
818	818	CAMK2G	calcium/calmodulin dependent protein kinas...
81839	81839	VANGL1	VANGL planar cell polarity protein 1 [Sour...
8312	8312	AXIN1	axin 1 [Source:HGNC Symbol;Acc:HGNC:903]
8313	8313	AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]
8321	8321	FZD1	frizzled class receptor 1 [Source:HGNC Sym...
8322	8322	FZD4	frizzled class receptor 4 [Source:HGNC Sym...
8323	8323	FZD6	frizzled class receptor 6 [Source:HGNC Sym...
8324	8324	FZD7	frizzled class receptor 7 [Source:HGNC Sym...
8325	8325	FZD8	frizzled class receptor 8 [Source:HGNC Sym...
8326	8326	FZD9	frizzled class receptor 9 [Source:HGNC Sym...
83439	83439	TCF7L1	transcription factor 7 like 1 [Source:HGNC...
8454	8454	CUL1	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]
85407	85407	NKD1	NKD inhibitor of WNT signaling pathway 1 [...
85409	85409	NKD2	NKD inhibitor of WNT signaling pathway 2 [...
8607	8607	RUVBL1	RuvB like AAA ATPase 1 [Source:HGNC Symbol...
894	894	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]
8945	8945	BTRC	beta-transducin repeat containing E3 ubiqu...
896	896	CCND3	cyclin D3 [Source:HGNC Symbol;Acc:HGNC:1585]
89780	89780	WNT3A	Wnt family member 3A [Source:HGNC Symbol;A...
90665	90665	TBL1Y	transducin beta like 1 Y-linked [Source:HG...
9350	9350	CER1	cerberus 1, DAN family BMP antagonist [Sou...
9475	9475	ROCK2	Rho associated coiled-coil containing prot...
9978	9978	RBX1	ring-box 1 [Source:HGNC Symbol;Acc:HGNC:9928]
