#H295R-shbcatenin		
Gene	Fold Change (log2) [- dox/+dox]	p_values_adjusted
C11orf45	-0.098738333333333	0.68171195530621
ZNF652	0.259368666666669	0.257540944081527
NTM	-0.466206333333333	0.0584908310916042
C3orf70	0.127674333333334	0.583061615740711
PDE5A	0.497125	0.0629160804357479
PDE2A	-1.131113	0.194593860853488
PRKCQ	-0.0646169999999998	0.809409373518692
CTHRC1	-0.168478	0.459936388684371
ASTN1	-0.430490333333333	0.182794399904883
RNF217	0.3414	0.179451818843724
NPNT	-0.425920333333332	0.137453276113987
KLHL5	0.111600333333333	0.768318188305035
BTAF1	-0.0493279999999996	0.85013576481729
WDFY3	0.105999333333334	0.646350580563869
C9orf84	-1.171353	0.0326806169766676
LRRC49	-0.372215333333333	0.0917903726055603
SMAGP	-0.0891689999999992	0.704370299831112
LAMP5	-0.206505000000000	0.307774837877941
HLF	0.123086000000000	0.635267430402483
SIAH2	-0.648251666666666	0.0184916897836653
DAAM2	-0.246628666666666	0.40610776759241
FGF12	-0.0803183333333332	0.772263402899903
LGR5	-0.558951666666667	0.359771290730514
SP1	-0.00290966666666626	0.993756838831997
KHDRBS3	-0.332040333333333	0.226499104403529
PLCB1	0.229422000000001	0.310277378475854
SEMA6D	0.794209333333334	0.0645400135120987
MFHAS1	0.141706333333333	0.516040564500327
PTPRS	0.192862333333334	0.309421300309741
SLC30A1	-0.177486333333333	0.353471671280201
HTR4	0.0802620000000005	0.724879647151162
RELN	-0.822631333333333	0.008129182209396
SLIT2	-0.529523666666666	0.0632396912595744
KCNJ5	-0.502679333333333	0.428953946992621
FAM171A1	0.102222000000001	0.646934482100399
TMEM108	-0.273094333333333	0.187231535349616
DACH1	-0.8728	0.0185304620090284
WIF1	-0.910069	0.131369372059974
ANO4	-0.923490666666666	0.00841828254294244
NAGS	-0.105932333333334	0.639837290428782
TNFSF4	-0.181332666666666	0.406211996897819
ADAM22	-0.698472666666666	0.0191141200358598
GABBR2	0.328768666666668	0.450233254347116
FAM178A	-0.334035333333333	0.190569948330175
ZNF462	-0.246299666666665	0.254350940121719
ASXL1	-0.093965	0.693228432049376
ZNF148	0.128628000000001	0.529987361613616
ZNF660	0.151217666666666	0.509471764056684
ETV4	0.232632333333333	0.313220411537404
SLC39A10	-0.199643333333332	0.315385252030064
MUCL1	-1.08786033333333	0.00311122808725912
TEC	-0.457102666666666	0.0647596980686847
SIN3A	-0.0574576666666662	0.819757926662461
TMEM2	-0.254083999999998	0.388303383752735
HNRNPM	-0.127743333333332	0.540605664935963
EBF4	-0.0518269999999996	0.870489343487753
SYNE1	-0.183402999999999	0.49971129098408
QRFPR	0.0765451666666667	0.732086971105268
TASP1	-0.265282999999999	0.202884869911086
FSCN1	-0.208614666666666	0.297888842945994
CADM1	-0.546237999999999	0.0637025835299783
ANTXR2	-0.386570333333333	0.0894144790631108
AJAP1	-0.109942666666666	0.617867263424706
KCNK9	-0.131251666666666	0.707538975864338
SLC23A2	-0.287721333333332	0.1780215342276
RAPH1	-0.126587999999999	0.68149943269806
SV2A	-0.07559	0.777568084061469
APP	0.0905266666666675	0.66807888867384
HS3ST5	0.217134333333334	0.390298381662209
VSTM4	-0.0893986666666666	0.688511260713706
AATF	-0.126039333333333	0.600950363504414
CALN1	-0.677994666666666	0.099537455213777
TSPAN7	0.220306666666667	0.422658139524950
ANKRD20A5P	0.0743336666666667	0.777406710539424
RGS7	0.627025333333334	0.0185304620090284
RFX3	0.241456333333334	0.307927332709227
MID1	-0.128774999999999	0.648442399981194
ANKRD50	0.300284666666668	0.120319574336004
CGNL1	-0.502992666666667	0.120319574336004
NHS	-0.243789	0.220370487708255
GAB2	-0.323305999999999	0.191847341402838
FZD6	0.104106333333336	0.677277330785112
SMURF2	0.125175000000000	0.566075188962
PIP4K2B	0.00356433333333421	0.993756838831997
MCOLN3	0.0959029999999999	0.756314439453732
AGTR1	1.06945766666667	0.0979662489851624
EGR3	0.00764533333333386	0.983098154995337
MLLT1	0.0509560000000009	0.858412246021085
GLI3	0.0441543333333342	0.889547401003742
VSNL1	-0.418352333333333	0.294683389709549
UGGT1	0.0459739999999999	0.843213673943937
DEPDC5	0.00666150000000009	0.985956426653124
NLGN2	-0.0419523333333321	0.870575403371786
ACTG1	0.0493900000000019	0.84100404224146
HNRNPU	-0.0595166666666665	0.808204808435554
CD44	-0.703538333333333	0.0748141981193211
RORB	-0.433597999999998	0.0878554819019113
TNFRSF19	-0.985321	0.00311122808725912
NAP1L1	-0.0308799999999994	0.90595687094025
NR4A3	-0.0406233333333331	0.873663396186202
PIP5K1B	1.33497066666667	0.0285314814086805
TUBBP5	0.199026333333334	0.29098458066948
AMOTL1	0.0500756666666677	0.867268897859745
ARPC2	0.0596943333333338	0.789228734235839
FAM114A1	0.301116666666667	0.120903394140597
NRXN2	-0.224361666666666	0.281792723503127
MED12L	-0.117334999999999	0.662666815705326
PLEKHA4	-0.107664333333333	0.617169282107924
EXPH5	0.0941706666666668	0.780717071872908
CLIP3	-0.00998666666666599	0.982906624460486
INPP4B	-0.00549966666666475	0.987163226136842
CTNNA2	-1.83836866666667	0.00295083342264811
TBX3	-0.238913333333333	0.243615883115952
ANKFN1	-0.477147666666666	0.0749561445182193
ANXA5	0.0460933333333344	0.852346905702153
ABCB4	0.230634666666667	0.218141405461970
LRP12	-0.302760333333333	0.150604214474289
LDB2	0.320723666666668	0.0928571414757748
DBN1	0.130580333333334	0.560413476606931
LTBP1	-0.475870333333332	0.0286129614738536
WWTR1	0.207848666666667	0.282765572761291
PRR12	-0.0447986666666666	0.870662337224757
ZMYM2	0.126221666666668	0.523453039510001
NR1D2	-0.017243333333332	0.953217548324318
ODAM	-0.0143843333333328	0.96018064860593
TMEFF2	0.150995000000000	0.619996256183009
ZCCHC12	-0.0793239999999993	0.75048955525919
LUZP1	-0.0139639999999992	0.972130516588353
PEA15	0.154006333333334	0.503217861354116
RPS6KC1	-0.0703253333333323	0.830093119549048
VIM	0.278273333333334	0.175583831213141
WBP1L	-0.320964	0.0917903726055603
PTMA	-0.0366883333333327	0.890094615232462
GTF3C1	-0.261184666666667	0.216391179549026
MERTK	-0.926407333333333	0.0351167468854759
C6orf211	-0.610730666666666	0.0469041914734957
RORA	0.23929	0.210845715069665
BRPF3	-0.629201666666665	0.0185304620090284
USP34	-0.077815666666666	0.750961152956367
CHML	-0.335030333333333	0.259184854253064
JUNB	0.0867416666666663	0.689501283534577
HNRNPUL1	-0.059278666666666	0.808239992878146
EP400	-0.228707999999999	0.359908305595919
NFYA	-0.0862356666666654	0.729368274679147
KCTD1	0.277134333333334	0.278205568286522
R3HDM1	-0.226813333333332	0.390752942547553
CASZ1	-0.187382333333333	0.44900567252947
C12orf68	-0.374028333333333	0.07521501709354
HK1	-0.0914749999999988	0.660591067381541
TAB2	-0.00111133333333161	0.997144862160692
RAB38	-1.01769166666667	0.00383531955221498
ARID5B	-0.229183999999998	0.246462634148331
ZNF503	-0.238142666666667	0.220405584107617
FAM84A	-0.184109333333332	0.52333876394493
DESI2	0.102718000000000	0.630332384171743
NOTUM	-1.31216966666667	0.00917425090054953
TSC22D1	-0.189904999999998	0.338519927099693
CAMK1	-0.072931666666666	0.791934055525056
ATP8B1	0.587886333333333	0.0227211206883655
KRAS	0.0240346666666677	0.930620998877894
FAM169A	-0.433456	0.092995664718085
DNM3OS	-0.100791499999999	0.621410665168104
COL18A1	-0.0919653333333326	0.677999095007544
LMO7	-0.0522133333333335	0.890511682678135
MOXD1	-0.389704666666665	0.289347186230224
ST8SIA5	-0.323528999999999	0.338754799084584
ESR1	-0.169100166666666	0.410984651167943
ELAVL1	-0.108176666666665	0.637602236970228
KCNK2	0.213706000000001	0.355387672697857
GDF10	-0.333901000000000	0.289347186230224
MMP2	-1.017295	0.0233091007249086
SMARCA4	-0.063878666666666	0.790420447081709
REV1	-0.109116999999998	0.601018880186027
CAMSAP2	0.259911666666667	0.255532956343297
KCNC2	0.144856000000001	0.576277303044571
FZD7	-0.550011999999999	0.0414548221592696
CCND1	-0.184505666666666	0.399848490147388
FKBP10	-0.0340729999999994	0.891803584952102
PTBP3	-0.117615666666665	0.68414816517367
CHRNA3	-0.0857089999999997	0.760951989611575
GFRA2	-0.189420666666666	0.528409919089401
TNFSF18	0.125890000000000	0.548643967646122
SAP130	0.0516806666666661	0.824674571093737
CSRP2	-0.0983163333333317	0.692043732062832
TOB1	-0.0601399999999983	0.794326423532765
TCF7L2	0.387560333333333	0.086617607905191
GPR75	-0.0390656666666663	0.909918896189467
PTMS	0.0389443333333344	0.88683920165247
GNA13	0.113760000000001	0.587396808178803
CEP170	0.428522	0.123133456370455
SLC35F1	-0.116828666666666	0.676662919155189
ATP1B2	-0.102550000000000	0.662751649046716
DZIP1	-0.00987199999999868	0.974451420920923
ZNF521	0.223318666666667	0.378344763124493
DUSP6	-0.934075999999999	0.0132656263961273
MCAM	-0.103921333333333	0.687270356148619
NFXL1	-0.212463999999999	0.352237134604623
NOSTRIN	0.0147929999999995	0.96622567326855
SLC33A1	-0.0317006666666663	0.915761046438965
JAM2	-0.331264333333333	0.137947869718874
LRP6	0.081383000000001	0.74164843446719
TSC22D2	0.120147666666667	0.557104392196544
LMNB1	0.0933936666666681	0.696217349388802
CHRNA5	0.0753800000000007	0.780717071872908
FBN1	1.12137933333333	0.00347244136732606
CHN1	-0.108759999999999	0.621406232563173
LRRFIP2	0.266193333333333	0.191847341402838
TRAK2	0.0250370000000013	0.942092082409632
TCF7	-0.241616666666667	0.270098077393495
CHERP	-0.146234666666665	0.48854839402226
DOC2B	-0.185236666666666	0.512908873161269
ZNF236	0.136147	0.50393099142638
CNP	-0.0600783333333324	0.795703940655181
CDH2	0.0466103333333337	0.843676733449892
SHROOM4	-0.077281	0.764848773122078
RIF1	0.0169046666666672	0.956567100065073
MARCH8	0.206434	0.305655404008506
KCNK3	-0.494624	0.0837916958855762
PARVB	-0.168692333333332	0.375553176012692
SNRNP200	-0.206353333333332	0.333622638790673
RGS12	-0.205757666666666	0.275739244875649
ESRRG	0.0835590000000002	0.708294071875696
NXN	0.0600643333333345	0.832650560777779
B3GNT9	0.0640506666666681	0.814001431217602
VGLL4	-0.0365256666666663	0.907374738017166
MYLIP	0.183623000000001	0.348000484523924
AKAP5	0.242779	0.411784621423647
PRRX1	0.0118200000000007	0.974895360062947
TM9SF3	0.0444133333333344	0.856502682928004
UACA	0.249206333333334	0.207611745628393
CEP68	0.169207666666667	0.384477482312904
TATDN2	-0.154177666666665	0.451746572873908
ZDHHC20	0.1231	0.544685122345675
VEZF1	0.125623666666667	0.525143015861964
sept-08	0.161048333333335	0.439061344563948
KIF16B	0.0166520000000016	0.965544587103044
NPPC	-0.173651666666665	0.588052519326463
C11orf82	-0.143660333333333	0.632554412921941
PEAK1	0.0340443333333343	0.940972575250573
NFIX	0.0298793333333343	0.910190419163007
OVOL3	-0.184090333333332	0.343729765439488
IQCA1	-0.0129806666666663	0.96681311917387
SH3BP4	-0.182962333333332	0.399012880214421
PPP4R1	0.213797666666669	0.279049509382533
ANKRD12	0.135943333333334	0.500586905345825
GNL1	-0.0614025555555555	0.84030869240936
LSM14A	0.00816433333333397	0.98025379113353
HNRNPD	0.0274166666666678	0.923293854892615
PCP4	-0.840506999999999	0.00757447647002903
EXOC7	-0.047772333333333	0.836692897504117
SNRPA	-0.0847349999999983	0.721454370213253
MYB	-0.423528999999999	0.148288164588800
KDM5B	0.0899463333333338	0.689267979966846
HAO2	-0.0101973333333331	0.983159241812861
RASL10B	-0.0621259999999984	0.820041994125866
C1QTNF1	-0.173409666666666	0.426233942525061
RNF43	-1.22054966666667	0.0036651923426154
CHL1	-1.448867	0.127449171495251
CHST14	-0.0877006666666664	0.752992371482229
LAMC3	-0.00240766666666612	0.994012486997982
SUPT6H	-0.076876	0.78960166957155
MBOAT2	0.0401576666666668	0.903352632801889
PHF12	-0.194335999999997	0.328724837942497
NDNF	-1.13688366666667	0.00841828254294244
COX20	0.283300333333334	0.223260757343954
MYH7B	-1.54786266666667	0.0230379245071538
H1FX	0.105579000000000	0.60378773986659
TMEM132E	-0.451557333333333	0.0351167468854759
CLDN1	-0.882317666666667	0.008129182209396
TET2	0.194743500000001	0.35135795138426
IL4	0.0473833333333332	0.862509125961694
TMEM74B	0.00568100000000067	0.991175862027014
CCDC41	-0.271988333333333	0.431227317416467
EOGT	0.304785666666668	0.135004030972507
KLHL8	-0.509194	0.0471454030933192
TAS2R19	0.00502366666666692	0.987796346951675
CORIN	0.0299836666666675	0.928785692303482
EDNRA	-0.270533666666667	0.15725962112112
CALML4	-0.129941333333333	0.552298643114782
GJC1	0.503503000000000	0.0271417780747615
VPS13A	0.133654000000001	0.516040564500327
NFIC	-0.133893666666666	0.525143015861964
ZFHX4	0.150055666666668	0.523453039510001
FAM95B1	-0.0931959999999994	0.769893749154778
CDK6	-0.672150666666666	0.0368932712496524
L3MBTL3	0.0320853333333339	0.914215855540678
ARHGAP12	-0.0356669999999995	0.887363245747406
XRCC5	-0.0863466666666656	0.680455232178275
DDX10	-0.0786859999999993	0.73899161599654
POLR2A	-0.101509333333332	0.689901977245828
GATAD2B	0.121990666666668	0.541939010010167
TXK	-0.356160666666667	0.103455104221207
NOTCH2	-0.0732763333333323	0.791330178898253
CAPN5	-0.151788999999999	0.568393891086758
DNAJC10	0.0619153333333344	0.780323861357089
POLR1A	-0.444285	0.0667771856938434
TCF3	-0.0260586666666656	0.922463263763
HNRNPR	-0.0952599999999986	0.661383805087653
MIB1	0.177190333333335	0.368449159208846
RERE	-0.219746666666665	0.243404019091646
PTBP2	0.295269000000002	0.190246103576351
YME1L1	-0.215208000000001	0.268942614418113
TRIM32	-0.258329666666665	0.16995621050072
PHACTR2	-0.363550999999998	0.130046102419308
RC3H2	-0.0243933333333330	0.926246672706072
ENTPD7	0.227737666666667	0.279049509382533
EGR1	0.363682000000001	0.0691995526792515
ZFYVE9	-0.00941700000000005	0.988133186272453
NMT2	0.266864333333334	0.217082119591531
SPTLC2	-0.153000999999999	0.538968176654309
ANKRD36B	0.167426333333335	0.545628708794389
ZC3HAV1L	-0.0114823333333326	0.97184501043952
ZBTB7C	-0.309101000000000	0.255595078844894
TLR6	-0.0140589999999994	0.965661221820942
FBXW7	-0.197932666666666	0.576277303044571
CEP112	0.379601333333334	0.135033058827820
EPM2AIP1	-0.0280496666666656	0.919420614501031
DPP10	-0.803284	0.00501765297023503
SLC7A8	-1.53140433333333	0.00311122808725912
RAB30	0.267241	0.313220411537404
PCOLCE	0.0528643333333344	0.843451607586348
SRSF1	-0.0303533333333311	0.906093399285191
DCBLD2	0.0152083333333345	0.961509682688243
STAG1	0.084576333333334	0.724915779411004
TBL1XR1	-0.136542333333331	0.502353732434934
TLE3	-0.0333756666666663	0.895093529187836
STK24	0.0289973333333336	0.913846966562145
CLDN2	0.025318666666667	0.922697964464038
MED1	-0.174858999999999	0.419500365886586
GRPR	-1.26757233333333	0.0093299183713845
NF1	-0.0274396666666662	0.925109901158611
FAM5B	-1.84412633333333	0.0711528556656884
BRWD3	0.115258666666667	0.575424509084104
SMNDC1	0.0777723333333335	0.727255353478337
PARG	-0.323170666666666	0.134149817255630
OSBPL10	0.544556000000001	0.0583806133794157
AMPD2	-0.322052333333333	0.134309227552143
ZRANB1	-0.00249899999999915	0.994118714439223
ANKRD20A12P	0.183636333333333	0.426518032099216
KANK2	0.0953570000000012	0.66632805122137
NFATC2	-0.725059999999999	0.00629285391915396
NT5DC2	-0.0946789999999995	0.714244999058301
CPT1A	0.152339000000001	0.466793078197373
DDX42	-0.0994299999999999	0.629376045476803
FGD6	-0.494254999999999	0.0351167468854759
LOC375295	-0.0950526666666666	0.714244999058301
PLD5	0.167366666666668	0.745852770783688
PBX3	0.229036000000001	0.237868383284494
ZNF827	-0.0571143333333317	0.822390330537826
TICAM1	-0.160260666666666	0.446756640099031
HMCN1	-0.827160333333332	0.085481985741103
APOBEC3F	0.266086333333333	0.232020628857636
LTBP4	0.0235280000000012	0.93948504599535
MDC1	0.0684410000000002	0.809979063354947
PPP3CA	0.243662	0.266979834423163
CTBP2	-0.00159433333333224	0.99628178244892
SUSD1	0.474667333333334	0.0583198419957867
ZNF248	-0.00308033333333142	0.993756838831997
SLC12A1	-0.147409000000000	0.524845938106282
FARP1	-0.0163426666666653	0.956567100065073
ARL5B	0.134514000000001	0.546219696447415
SMAD2	0.0838066666666676	0.707538975864338
RBFOX2	-0.152466000000000	0.436132693279062
PRDM5	0.0290206666666669	0.931467600666044
QPCT	-0.0654633333333327	0.766569862858904
CNOT3	-0.150504999999999	0.477235955589408
PIKFYVE	-0.132807666666665	0.544685122345675
SLC16A2	-0.275216666666667	0.285116883835521
TP53BP2	0.195985666666667	0.319483495880312
NFATC4	-0.197073999999999	0.336481835976065
GOLGA7B	-0.215662333333333	0.248864745773935
ANO1	-0.00152666666666624	0.99628178244892
ARHGDIA	0.0637115000000001	0.775519275409347
KPNB1	0.0423966666666687	0.864222734539396
CCNI	0.0581466666666666	0.798752256977623
ICK	-0.0139133333333319	0.969513647149429
NACAP1	-0.169359666666665	0.467798588118316
SMYD2	-0.00448533333333399	0.988942941807152
NES	-0.172157333333333	0.570550813984136
SCAF1	0.0168680000000007	0.95197590164177
MAPK14	-0.0935763333333332	0.762269789916409
PBRM1	-0.0168339999999998	0.956024791104257
ARHGAP1	0.133490000000001	0.52333876394493
SPRED1	0.080121333333334	0.786438669493529
ROPN1L	-0.167134333333333	0.534206202440822
PRPF3	-0.203429333333332	0.304850986720083
SUPT5H	0.0353846666666671	0.888476605628154
EXOG	-0.144715999999999	0.464393642723292
ZNF460	-0.196658333333332	0.395459325761047
LNPEP	0.233009333333334	0.245948767014956
PLEKHA1	0.561234333333334	0.0238147039217215
RUNX2	0.0565403333333341	0.82667899725046
PER3	0.0648100000000001	0.778995157976597
HELZ	-0.0353243333333322	0.90945379489823
GAS2L3	-0.270647666666667	0.333881200421942
sept-04	-0.0892563333333326	0.764848773122078
BRPF1	0.0167650000000002	0.962219686887808
ADAMTSL1	-1.01820216666667	0.00347244136732606
COIL	-0.124205666666666	0.588509953674261
KCNA4	-0.207666666666666	0.337307065334106
MORC3	0.344958666666668	0.126863181258387
TMEM221	-0.184821333333333	0.336373925530627
SEMA5A	0.160969333333334	0.427283471646461
BICC1	0.332398000000001	0.258700580229750
ZBTB20	0.0264836666666669	0.939515352878445
MYH10	0.209772000000002	0.288747111194017
C10orf12	-0.209753999999999	0.376224594108747
FANCC	0.0388040000000005	0.874243298833041
HTRA1	0.256535333333334	0.175763076550523
SEMA3C	0.434635000000001	0.0802641563431964
ATRN	0.0940866666666677	0.661476512366005
PGR	0.0459460000000005	0.843676733449892
CBL	-0.483886666666666	0.05368634135411
ZNF333	-0.0615666666666666	0.784944347000133
FOXL2	-0.133009666666666	0.641044966033937
ZMYM4	0.0972650000000007	0.68171195530621
RARG	-0.0821826666666653	0.727065902741195
DNM3	-0.555341333333332	0.0230379245071538
PPFIBP1	0.0466236666666667	0.855321176509099
COL4A3BP	-0.264352666666667	0.282721762943589
RAB11B	-0.0335196666666652	0.895093529187836
PTPN4	0.325059666666667	0.145808308743157
ADRA2C	-0.113423333333333	0.637426515050706
RHBDL3	-0.325106666666666	0.228292762690892
RAI1	-0.00743399999999938	0.982416094939651
LUZP2	0.065158333333334	0.783190318471728
FAM13C	0.00359566666666734	0.993724132855888
SS18	0.0455356666666674	0.861677398924522
DZIP1L	-0.00060200000000012	0.998281147912498
DPYSL2	0.0466703333333348	0.86521320388291
MICAL2	0.165924333333334	0.587661126214482
HOXA11	0.245064333333335	0.206251535561712
EFNA3	-0.758241666666666	0.0185304620090284
GNAI3	0.055746000000002	0.805830951784663
CPN2	-0.173356000000000	0.684569287653569
MGC16025	-0.0775069999999993	0.77130466329802
SLC44A2	0.203530666666667	0.343611277724373
ANKRD13B	-0.395264	0.0836149295154894
ATL2	-0.0106289999999991	0.972130516588353
RAB36	0.0353473333333334	0.911970751063452
SLC5A8	-0.0941063333333324	0.66399337759607
RAB11FIP2	0.437053666666667	0.0704370579064744
KDM6B	0.126726666666667	0.590101586536522
FN1	0.641271333333335	0.132969129744691
UTRN	0.181776333333334	0.476307520847818
SGCB	0.159278333333334	0.514076428873743
HECTD2	0.456972000000002	0.0338372724876968
SEMA6B	-0.278562000000000	0.313220411537404
PDCD11	-0.411765666666665	0.091806882215603
STX6	-0.00624366666666566	0.985884500368235
TPD52L1	-0.288754333333332	0.188232886284507
TCF12	0.123451333333334	0.551352991056569
LIFR	0.587683666666667	0.0155160072151846
LAMA2	0.209897333333334	0.315385252030064
CSN1S2AP	0.0569333333333332	0.824327514351812
LAMA4	-0.127973666666666	0.624457186990323
YBX2	-0.0521173333333328	0.864688646629146
DLG4	0.0471360000000017	0.841069468066102
KHDRBS2	0.0927290000000004	0.730330043083783
LEPREL2	-0.123670666666666	0.630112460203515
SOX12	-0.0668599999999997	0.80758784150395
RNF152	-0.0229029999999996	0.944218475609619
SLC22A17	-0.0711829999999995	0.756066672359783
MPRIP	-0.125577333333332	0.539562166114593
CACNB2	-0.738781333333333	0.0300090638729873
PIAS2	-0.0104216666666653	0.97435171941994
PRKD2	0.108259666666668	0.613258123073115
SH3PXD2A	-0.00597666666666534	0.985884500368235
HOXD11	0.107088333333334	0.605121621910816
H2AFX	0.0183573333333329	0.948778075888142
CACNB4	-0.164353000000000	0.528409919089401
SULF2	0.0512620000000001	0.839703258597695
GPSM2	0.0928153333333344	0.720071550811076
KDM5A	-0.103678999999999	0.648209367206976
C10orf137	0.0694390000000013	0.750936504909256
EIF4B	-0.0282666666666649	0.91680951061779
SRP68	-0.140861333333333	0.484208511056468
PUM1	-0.0939553333333316	0.664067525814732
TSHZ3	0.336121666666667	0.274121181062751
LRRC8D	-0.039438999999999	0.874960823800592
SF3B3	-0.36458	0.0740548894463108
GYG2	0.270421000000001	0.181157330290383
SOCS7	-0.128470666666666	0.548138764076282
PHF23	0.0342323333333337	0.903788355106891
SBSPON	-0.00206133333333225	0.995146554639975
BMPR2	0.388930000000001	0.120936464750026
ZNF184	0.159375000000001	0.502766729725258
ITGBL1	-0.0182003333333314	0.951160188394976
BUB3	0.0446466666666678	0.85013576481729
CSGALNACT2	0.217972666666668	0.261011849103251
REV3L	0.0855980000000002	0.690641668678273
RRP1	-0.149444999999999	0.49679816436215
TMEM246	0.133651666666668	0.57883453172984
PTCD3	0.0110943333333344	0.972327702257384
KLHL11	-0.0586226666666654	0.791344461598316
NETO2	0.0675756666666675	0.779668393144765
SPTBN1	-0.0435166666666652	0.870662337224757
ECM2	0.226994333333334	0.338777202459218
CCAR1	-0.0283486666666657	0.91680951061779
MYADM	0.143270666666666	0.583036318848746
BMPR1A	0.1884625	0.354076683624850
KIAA1671	-0.0327923333333334	0.902208543897795
ATXN1	-0.0759873333333324	0.749395159463515
SF3B4	0.0343520000000014	0.890073383340154
PDGFD	0.115173666666669	0.720810534891902
PELP1	-0.0386726666666654	0.874353540431336
PBX1	-0.186345999999999	0.436132693279062
SF3A2	0.0800903333333352	0.73097308185803
KAT6B	0.0504290000000009	0.849578856396924
RBBP4	0.0772600000000006	0.745685276815889
SMAD4	0.160595333333335	0.419500365886586
SEMA4C	0.208694333333335	0.295708667353848
NDE1	0.0266676666666678	0.941559580750404
TMEM151B	-0.0778579999999993	0.724001791100896
ASAP1	0.0071240000000003	0.985484787924072
CBX3	-0.146242333333332	0.459624813256835
ILF3	-0.101233333333332	0.639837290428782
MGC57346	-0.150200666666666	0.479014333115247
ST6GAL2	-0.092882333333333	0.660199472343126
PGF	-0.172374333333333	0.421541794258528
SNX25	0.316186333333335	0.138581436793350
GPCPD1	0.048863000000001	0.831076445763244
BCAS3	-0.168199666666666	0.4261850174154
ARHGEF12	0.00701800000000144	0.983159241812861
TNFAIP6	0.0325176666666672	0.910696784037738
DCAF7	-0.157921999999999	0.479067209456976
ZNF609	0.0237586666666680	0.944097469332832
DACT3	-0.157181666666666	0.669640159813955
HSPA13	0.0370463333333342	0.880254449461876
BPTF	0.097466666666668	0.680436423395844
PAQR8	0.448007000000001	0.0647596980686847
HS3ST1	-0.101505333333332	0.706087144562033
SLC30A10	-0.467698666666666	0.0584824376865046
MOB1B	0.226877666666667	0.370122454788249
RFTN2	0.0128233333333336	0.964995783450258
ABLIM1	-1.08523033333333	0.0126478660661103
ADARB1	-0.173184333333333	0.522694084864109
LONRF2	-0.228593333333333	0.343572153228906
RNF169	0.207330333333334	0.312600912762022
INVS	0.320835666666667	0.158485868172990
MBTD1	0.217725333333334	0.297072964963319
CBX1	-0.00752766666666705	0.98173288785111
PPAT	-0.077915	0.728429595651334
ANKRD36C	0.327514666666668	0.189835504217186
STT3B	0.106206666666667	0.624073652680538
TEX10	-0.0858913333333315	0.699711167221797
GTF3C4	-0.147778999999999	0.452846213844736
ARID1B	-0.124548333333333	0.560542533059595
ANKRD36	0.177624333333336	0.449419820315226
MAPRE2	-0.125080000000000	0.556572512115849
ARHGEF25	0.130693333333334	0.514889931507188
WNK2	-0.212507666666665	0.321008129295804
ATXN7L3	0.0928526666666675	0.673701601183362
FOXRED2	-0.014803999999999	0.95805797537369
SNAI2	0.310809666666667	0.141967552361024
FUBP1	-0.103351999999999	0.616036866881905
CHSY1	-0.0245233333333323	0.925845244747948
KIAA0355	0.119543000000000	0.549659494702918
CRTAP	0.112773333333335	0.576725159099457
FLNA	0.112420000000002	0.62979571408014
GPR63	0.147328333333333	0.467798588118316
S100PBP	0.272516333333334	0.148262582993822
CHST10	-0.214441333333333	0.262756877023918
JARID2	-0.347393000000000	0.0749561445182193
CACNA1C	-0.2499395	0.203889537242039
MTMR3	-0.0565913333333325	0.815309621716298
NOLC1	-0.352030	0.120319574336004
